ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,14213c01_12_edna_1,14213c01_12_edna_2,14213c01_12_edna_3,22013c01_12_edna_1,22013c01_12_edna_2,22013c01_12_edna_3,CN13Dc01_12_edna_1,CN13Dc01_12_edna_2,CN13Dc01_12_edna_3,05114c01_12_edna_1,05114c01_12_edna_2,05114c01_12_edna_3,14714c01_12_edna_1,14714c01_12_edna_2,14714c01_12_edna_3,19114c01_12_edna_1,19114c01_12_edna_2,19114c01_12_edna_3,30214c01_12_edna_1,30214c01_12_edna_2,30214c01_12_edna_3,32414c01_12_edna_1,32414c01_12_edna_2,32414c01_12_edna_3,12015c01_12_edna_1,12015c01_12_edna_2,12015c01_12_edna_3,18815c01_12_edna_1,18815c01_12_edna_2,18815c01_12_edna_3,EB_20161116,pcrblank_1,28215c01_12_edna_1,28215c01_12_edna_2,28215c01_12_edna_3,34915c01_12_edna_1,34915c01_12_edna_2,34915c01_12_edna_3,11216c01_12_edna_1,11216c01_12_edna_2,11216c01_12_edna_3,24416c01_12_edna_1,24416c01_12_2,24416c01_12_edna_3,CANON16c14_12_edna_1,CANON16c14_12_edna_2,CANON16c14_12_edna_3,34916c01_12_edna_1,34916c01_12_edna_2,34916c01_12_edna_3,JD10706C1_0m_1,JD10706C1_0m_2,JD10706C1_0m_3,JD15806C1_0m_1,JD15806C1_0m_2,JD15806C1_0m_3,JD27006C1_0m_1,JD27006C1_0m_2,JD27006C1_0m_3,JD33306C1_0m_1,JD33306C1_0m_2,JD33306C1_0m_3,pcrblank2,EB_20161121,EB_20161228,EB_20170117,pcrblank3,CB_CANON160925_1,CB_CANON160925_2,CB_CANON160925_3,ArtComm2
ASV_1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned,9,4,8,72,71,187,364,132,288,14825,16094,22459,2476,3146,4017,16588,9547,12579,62205,68668,83112,42721,52093,68613,9517,7779,9846,9320,12517,8237,90,0,9510,9106,7662,10438,29082,28290,19312,16491,21670,15699,9849,11175,14347,13721,15408,1022,0,697,43,46,37,19,19,20,712,533,617,867,815,956,0,0,1312,1,0,197,3,210,44
ASV_2,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned,4,7,19,10,5,6,6,8,7,4,20,15,33937,42226,53737,88085,52521,69049,24,26,23,22,26,32,1054,856,1079,2458,3222,2340,0,0,4559,4391,3742,11,27,26,8583,7223,8942,12,8,12,47,47,51,16,0,7,216,243,235,1,5,6,3110,2091,2410,302,263,358,0,0,535,0,0,118,162,139,5976
ASV_3,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,2,3,7,7,12,10,10,6,8,6,8,10,12,12,18,18,11,10,6,10,10,49,51,86,9,10,9,14,16,13,75,0,21,27,23,16,36,31,9,11,10,1550,953,1033,131586,126507,129805,67,0,60,4,5,2,43,34,62,28,28,16,809,656,795,0,0,0,35,0,1,0,1,8
ASV_4,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,unassigned,2,3,6,418,540,882,14898,5368,11223,5,4,8,7,6,12,25,8,20,11869,12852,15303,3410,3689,5358,6,8,5,7,12,9,0,1,951,945,790,4,10,7,12,11,12,99,53,46,965,928,1159,2091,0,1365,1,2,4,6,4,9,70,40,42,72666,64965,82065,0,0,0,836,0,1,0,0,7
ASV_5,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,148,147,139,362,368,719,646,196,460,256,213,378,302,314,422,523,310,399,1099,1235,1467,2660,2900,3875,424,384,372,1337,1773,1250,1,0,2073,1977,1721,449,1441,1513,649,513,751,4365,2813,3109,3469,3506,3601,107997,0,70793,18,21,18,61,63,72,61,36,50,13666,12505,14688,0,0,36,401,0,0,4,11,7
ASV_6,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis,12433,15214,11716,4685,5349,9253,5293,1531,3665,6882,6911,10536,3337,4359,5206,6763,3712,4809,157,198,198,1384,1718,2104,11020,9095,10539,4832,6539,4622,0,0,2856,2531,2352,157,547,561,6813,5265,7208,6807,4281,4731,1118,1034,1055,591,0,360,60,60,61,113,83,144,17,9,23,1353,1259,1467,0,0,535,0,0,126,65,11,7
ASV_7,Eukaryota,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. CCMP1878,21,38,16,3098,3419,5937,1511,472,981,1113,1134,1960,8097,9534,12026,3715,2097,2709,94,97,130,1412,1607,1712,168,163,157,7681,10242,7281,1,0,2649,2613,2221,518,1627,1637,25689,19652,27541,4585,3004,3243,1803,1787,1871,1821,0,1101,48,63,57,26,31,63,37,37,51,1377,1218,1490,0,0,1479,1,0,151,221,330,4
ASV_8,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis,3,2,0,33,42,89,8,2,7,4,2,2,15151,18088,23463,1943,1014,1405,6,6,9,9,4,18,22393,18683,22011,2081,3092,2310,0,0,9,5,3,3,9,8,3715,2853,4084,1795,1187,1266,110,85,105,9,0,3,1,5,3,32,24,52,2,0,2,8,6,4,0,0,342,0,0,0,0,134,4
ASV_9,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,1,1,0,1450,1613,2666,4,1,1,3,0,2,1093,1223,1772,960,574,747,8,9,4,8246,9602,13322,717,513,689,273,396,278,0,0,575,543,570,2956,9174,8960,708,618,744,4494,3079,3296,5511,5311,6240,702,0,483,14,6,12,15,11,20,8,14,14,111,116,109,0,0,36,0,0,76,0,0,1
ASV_10,Eukaryota,Chlorophyta,unassigned,unassigned,unassigned,unassigned,unassigned,8,13,7,317,376,609,13,9,10,2254,2235,2656,2,3,3,24,21,21,273,287,324,785,759,1112,3,3,2,170,258,168,0,1,344,452,314,1549,4246,4267,20,10,21,654,382,544,151,136,172,106,0,72,12158,14425,12629,49,45,84,13824,8799,10875,50,24,44,0,0,2,1,0,0,0,0,1
ASV_11,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned,2,2,2,3,7,3,6,1,8,3,4,5,2,3,1,6,5,3,2293,2339,2653,1827,2115,2769,21,16,11,2,8,6,0,0,29145,27254,23812,1,4,4,3,4,5,22,17,12,180,176,181,5,0,4,3,0,1,0,1,3,3,2,3,1,4,6,0,0,0,0,0,0,0,236,4
ASV_12,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta,18155,21230,14699,7173,8626,15277,43,17,38,22,16,26,45,47,122,546,302,406,4,7,7,33,12,68,455,277,382,3,2,3,0,0,6,7,6,1,1,2,5,4,7,45,25,48,3,4,3,7,0,5,0,0,4,18,7,32,0,9,10,8,11,4,0,0,0,0,0,0,0,0,1
ASV_13,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum,3,2,4,3,10,8,39,12,24,26,21,32,4657,5794,7169,4522,2525,3479,6,5,5,2520,2842,3618,1292,983,1151,4156,5810,4078,0,0,329,273,293,2,8,7,5960,4512,6361,1495,906,1050,392,392,436,100,0,56,3,0,1,64,85,144,0,1,0,14,15,15,0,0,397,0,0,0,173,128,1
ASV_14,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote,296,320,337,212,224,319,2,0,5,47,50,39,185,255,318,1489,750,1171,757,801,685,22,40,60,4106,3181,3907,7700,11430,9373,0,0,471,410,364,1346,3518,4151,2748,2573,2888,88,61,67,1708,1595,1563,9,0,3,155,179,210,218,189,304,912,759,762,331,242,385,0,1,199,28,0,159,169,0,4
ASV_15,Eukaryota,unknown,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum triestinum,31,24,20,69,103,138,23043,8944,18144,11,6,6,3,1,2,404,246,295,95,75,111,121,98,202,128,98,143,1853,2510,1860,0,0,13,5,2,2,6,6,7,3,7,1747,1109,1143,39,36,30,591,0,388,3,3,3,14,4,9,1,1,3,79,71,76,0,0,0,11,0,0,0,0,2
ASV_16,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,unassigned,unassigned,unassigned,0,0,0,4663,5273,7938,101,22,101,1,3,7,1,1,1,4487,2778,3947,328,290,373,2944,3027,4254,219,249,209,1,3,3,1,0,2267,1790,2078,88,270,269,458,349,394,642,474,434,628,429,555,188,0,134,3,0,0,0,0,0,35,31,38,1493,1543,1746,0,0,19,0,0,0,0,0,0
ASV_17,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned,1,0,0,4,6,2,4,1,1,6,1,12,10096,12157,18718,1,0,1,2,1,3,1,0,2,2,0,2,1,3,0,48,0,2,2,0,1,2,4,1,0,1,4,2,5,2,0,0,5,0,0,2,1,0,1,3,1,1,0,0,1,2,2,0,0,0,24,0,0,0,0,15156
ASV_18,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium crassipes,0,0,0,9661,11269,18909,7,3,4,0,0,4,401,437,642,5,3,0,1515,1656,1743,648,626,923,197,137,166,67,100,61,0,0,787,676,706,139,435,413,2,1,2,645,416,454,17,25,22,24,0,18,0,2,0,0,1,1,2,2,0,178,141,155,0,0,2,0,0,0,0,124,3
ASV_19,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_,5602,6608,6286,251,264,423,14865,4258,15017,2,0,1,20,13,24,0,2,3,0,1,1,0,1,1,1,0,1,1,1,0,0,0,2,0,1,1,3,1,0,0,1,2,0,0,2,2,1,0,0,3,1,1,0,11,17,24,0,1,2,0,3,0,0,0,0,0,0,0,0,0,1
ASV_20,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia australis,22,16,21,2,1,4,1,0,2,5,14,13,183,170,281,630,330,441,3,0,0,24,27,47,5591,4310,5700,1603,2206,1389,0,0,30,28,26,0,2,1,21,14,31,13112,7403,8952,44,43,21,2,0,2,0,5,2,1,3,2,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1
ASV_21,Eukaryota,unknown,Dinophyceae,Peridiniales,unassigned,unassigned,unassigned,122,101,108,159,182,290,3392,1129,2599,268,281,542,240,377,443,373,211,274,262,290,305,614,665,955,611,448,558,1081,1407,1047,0,0,2014,1816,1492,134,354,370,706,574,752,967,682,696,2872,2732,2816,327,0,181,8,11,9,4,6,10,49,29,49,1608,1510,1795,0,0,40,13,0,0,0,0,0
ASV_22,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,1,1,3,917,1044,1700,18,8,17,1,4,0,373,365,485,4006,2001,2790,1,4,0,3,4,3,1193,932,1208,2092,3037,2033,0,0,16,24,23,3,3,0,5856,4604,6427,317,204,223,4,3,3,8,0,5,0,2,0,13,9,23,6,3,3,4,4,3,0,0,379,0,0,0,0,117,0
ASV_23,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,12,29,32,417,451,850,83,32,68,230,220,365,25,20,34,780,429,575,83,109,97,720,819,870,38,34,45,6851,9293,6365,0,0,1051,957,839,123,474,448,676,536,751,834,555,622,188,215,201,510,0,315,1,1,1,3,0,2,4,5,5,1085,930,1131,0,0,43,1,0,0,0,0,2
ASV_24,Eukaryota,unknown,unknown,unknown,unknown,unknown,phototrophic eukaryote,0,1,1,7,24,15,1454,411,1029,9,9,9,1,1,1,72,42,57,5169,5900,6536,2516,2908,3691,53,42,35,30,21,15,0,0,27,33,26,13,59,59,0,0,3,2,0,0,2,1,2,74,0,47,0,0,2,0,2,2,0,2,0,3530,2949,3873,0,0,0,0,0,0,0,0,1
